canonical_event_id,canonical_outcome,venue,market_id,token_id,question,confidence,verified
tennis_starodubtseva_rybakina_20260905,elena_rybakina,kalshi,KXWTAMATCH-26SEP05STARYB-RYB,,Elena Rybakina wins,1.0,true
tennis_starodubtseva_rybakina_20260905,elena_rybakina,polymarket,4206023,86227771942837246925394329629108236183223527232139966345034527031632563914874,Elena Rybakina wins,1.0,true
tennis_bucsa_gauff_20260905,coco_gauff,kalshi,KXWTAMATCH-26SEP05BUCGAU-GAU,,Coco Gauff wins,1.0,true
tennis_bucsa_gauff_20260905,coco_gauff,polymarket,4206021,104906231400902657555347840812561963698958085880328728270762445934627982706776,Coco Gauff wins,1.0,true
tennis_jovic_eala_20260905,alexandra_eala,kalshi,KXWTAMATCH-26SEP05JOVEAL-EAL,,Alexandra Eala wins,1.0,true
tennis_jovic_eala_20260905,alexandra_eala,polymarket,4206019,40425443249552523824417030902992244195017314899827028573886733507033085028752,Alexandra Eala wins,1.0,true
tennis_konishi_cruz_20260904,julia_konishi_camargo_silva,kalshi,KXITFWMATCH-26SEP04KONCRU-KON,,Julia Konishi Camargo Silva wins,1.0,true
tennis_konishi_cruz_20260904,julia_konishi_camargo_silva,polymarket,4203713,86283724013884825712529078564108018182001298573479974970700129863154595170386,Julia Konishi Camargo Silva wins,1.0,true
tennis_sanchez_candiotto_20260904,maria_jose_sanchez_uribe,kalshi,KXITFWMATCH-26SEP04SANCAN-SAN,,Maria Jose Sanchez Uribe wins,1.0,true
tennis_sanchez_candiotto_20260904,maria_jose_sanchez_uribe,polymarket,4203712,69998974862907096329353165509064709687246094286031320747210533249447246934314,Maria Jose Sanchez Uribe wins,1.0,true
